"geoid","geoid2","geodisplaylabel","hc02_est_vc02"
"1400000US48029131100","48029131100","Census Tract 1311, Bexar County, Texas","27361"
"1400000US48029131200","48029131200","Census Tract 1312, Bexar County, Texas","29892"
"1400000US48029131300","48029131300","Census Tract 1313, Bexar County, Texas","35330"
"1400000US48029131401","48029131401","Census Tract 1314.01, Bexar County, Texas","59517"
"1400000US48029131402","48029131402","Census Tract 1314.02, Bexar County, Texas","42328"
"1400000US48029131503","48029131503","Census Tract 1315.03, Bexar County, Texas","52208"
"1400000US48029131504","48029131504","Census Tract 1315.04, Bexar County, Texas","49066"
"1400000US48029131505","48029131505","Census Tract 1315.05, Bexar County, Texas","62531"
"1400000US48029131506","48029131506","Census Tract 1315.06, Bexar County, Texas","43835"
"1400000US48029131507","48029131507","Census Tract 1315.07, Bexar County, Texas","33750"
"1400000US48029131601","48029131601","Census Tract 1316.01, Bexar County, Texas","81250"
"1400000US48029131606","48029131606","Census Tract 1316.06, Bexar County, Texas","65774"
"1400000US48029131608","48029131608","Census Tract 1316.08, Bexar County, Texas","48991"
"1400000US48029131609","48029131609","Census Tract 1316.09, Bexar County, Texas","71740"
"1400000US48029131610","48029131610","Census Tract 1316.10, Bexar County, Texas","64696"
"1400000US48029131611","48029131611","Census Tract 1316.11, Bexar County, Texas","78167"
"1400000US48029131612","48029131612","Census Tract 1316.12, Bexar County, Texas","57782"
"1400000US48029131613","48029131613","Census Tract 1316.13, Bexar County, Texas","61453"
"1400000US48029131614","48029131614","Census Tract 1316.14, Bexar County, Texas","62188"
"1400000US48029131615","48029131615","Census Tract 1316.15, Bexar County, Texas","57026"
"1400000US48029131700","48029131700","Census Tract 1317, Bexar County, Texas","88250"
"1400000US48029131801","48029131801","Census Tract 1318.01, Bexar County, Texas","67875"
"1400000US48029131802","48029131802","Census Tract 1318.02, Bexar County, Texas","64125"
"1400000US48029140100","48029140100","Census Tract 1401, Bexar County, Texas","38438"
"1400000US48029140200","48029140200","Census Tract 1402, Bexar County, Texas","27750"
"1400000US48029140300","48029140300","Census Tract 1403, Bexar County, Texas","29575"
"1400000US48029140400","48029140400","Census Tract 1404, Bexar County, Texas","37890"
"1400000US48029140500","48029140500","Census Tract 1405, Bexar County, Texas","36500"
"1400000US48029140600","48029140600","Census Tract 1406, Bexar County, Texas","32250"
"1400000US48029140700","48029140700","Census Tract 1407, Bexar County, Texas","32621"
"1400000US48029140800","48029140800","Census Tract 1408, Bexar County, Texas","31958"
"1400000US48029140900","48029140900","Census Tract 1409, Bexar County, Texas","30025"
"1400000US48029141000","48029141000","Census Tract 1410, Bexar County, Texas","22614"
"1400000US48029141101","48029141101","Census Tract 1411.01, Bexar County, Texas","24865"
"1400000US48029141102","48029141102","Census Tract 1411.02, Bexar County, Texas","29375"
"1400000US48029141200","48029141200","Census Tract 1412, Bexar County, Texas","32088"
"1400000US48029141300","48029141300","Census Tract 1413, Bexar County, Texas","43333"
"1400000US48029141402","48029141402","Census Tract 1414.02, Bexar County, Texas","68125"
"1400000US48029141403","48029141403","Census Tract 1414.03, Bexar County, Texas","48125"
"1400000US48029141404","48029141404","Census Tract 1414.04, Bexar County, Texas","43500"
"1400000US48029141600","48029141600","Census Tract 1416, Bexar County, Texas","53534"
"1400000US48029141700","48029141700","Census Tract 1417, Bexar County, Texas","66548"
"1400000US48029141800","48029141800","Census Tract 1418, Bexar County, Texas","43365"
"1400000US48029141900","48029141900","Census Tract 1419, Bexar County, Texas","55076"
"1400000US48029150100","48029150100","Census Tract 1501, Bexar County, Texas","29789"
"1400000US48029150300","48029150300","Census Tract 1503, Bexar County, Texas","26333"
"1400000US48029150400","48029150400","Census Tract 1504, Bexar County, Texas","32045"
"1400000US48029150501","48029150501","Census Tract 1505.01, Bexar County, Texas","26890"
"1400000US48029150502","48029150502","Census Tract 1505.02, Bexar County, Texas","27868"
"1400000US48029150600","48029150600","Census Tract 1506, Bexar County, Texas","32971"
"1400000US48029150700","48029150700","Census Tract 1507, Bexar County, Texas","30413"
"1400000US48029150800","48029150800","Census Tract 1508, Bexar County, Texas","14197"
"1400000US48029150900","48029150900","Census Tract 1509, Bexar County, Texas","33706"
"1400000US48029151000","48029151000","Census Tract 1510, Bexar County, Texas","26791"
"1400000US48029151100","48029151100","Census Tract 1511, Bexar County, Texas","37610"
